"Coconuts, Brazil nuts, cashews",135279,28371
Coffee,97329,118679
Fish,9398,152969
Tobacco,54617,96839
Gold,49832,565616
Tea,31190,39979
Cotton,30160,41263
Cloves,26980,8804
Diamonds,25874,17574
"Mounted stone",18354,45503
Vegetables,12113,52559
Wheat,4103,41940
"Precious metal ores",0,203280
