Afghanistan,7,6
Albania,121,118
Algeria,81,77
Angola,52,48
Antigua and Barbuda,125,127
Argentina,145,145
Armenia,102,102
Australia,167,165
Austria,169,168
Azerbaijan,63,68
Bahamas,133,134
Bahrain,129,125
Bangladesh,25,29
Barbados,136,135
Belarus,83,85
Belgium,159,163
Belize,114,113
Benin,74,74
Bhutan,50,59
Bolivia,59,62
Bosnia & Herz.,69,79
Botswana,113,117
Brazil,123,123
Brunei Darussalam,122,123
Bulgaria,129,130
Burkina Faso,37,41
Burundi,17,18
Cambodia,38,37
Cameroon,24,26
Canada,168,169
Cape Verde,90,91
Central African Rep.,8,10
Chad,2,4
Chile,153,151
China,72,76
Colombia,44,52
Comoros,55,57
Congo (D. R.),4,2
Congo (Rep.),32,33
Costa Rica,137,139
Cote d'Ivoire,10,11
Croatia,132,130
Cuba,86,101
Cyprus,116,115
Czech Republic,152,155
Denmark,173,175
Djibouti,60,53
Dominican Republic,84,95
Ecuador,62,67
Egypt,45,31
El Salvador,89,93
Equatorial Guinea,41,43
Eritrea,28,23
Estonia,140,143
Ethiopia,20,17
Fiji,68,65
Finland,177,177
France,161,162
Gabon,92,92
Gambia,69,63
Georgia,47,51
Germany,162,164
Ghana,114,112
Greece,143,138
Grenada,120,121
Guatemala,72,70
Guinea,11,12
Guinea-Bissau,18,15
Guyana,100,104
Haiti,5,7
Honduras,78,75
Hungary,142,141
Iceland,165,166
India,76,78
Indonesia,64,63
Iran,35,34
Iraq,9,9
Ireland,171,170
Israel/West Bank,53,61
Italy,147,145
Jamaica,118,119
Japan,164,151
Jordan,96,90
Kazakhstan,107,107
Kenya,16,16
Kuwait,128,128
Kyrgyzstan,31,41
Laos,46,48
Latvia,135,136
Lebanon,43,45
Lesotho,71,72
Liberia,26,25
Libya,111,50
Lithuania,149,149
Luxembourg,170,172
Macedonia,106,109
Madagascar,58,58
Malawi,33,36
Malaysia,111,110
Maldives,91,88
Mali,77,79
Malta,148,150
Mauritania,42,38
Mauritius,150,147
Mexico,94,98
Micronesia,103,103
Moldova,66,73
Mongolia,127,129
Montenegro,134,133
Morocco,87,87
Mozambique,57,59
Myanmar,18,21
Namibia,104,106
Nepal,27,27
Netherlands,166,167
New Zealand,172,171
Nicaragua,66,69
Niger,15,18
Nigeria,14,14
North Korea,22,22
Norway,176,173
Oman,140,137
Pakistan,12,13
Panama,131,132
Papua New Guinea,54,54
Paraguay,101,107
Peru,99,99
Philippines,50,56
Poland,145,148
Portugal,163,160
Qatar,139,142
Romania,126,126
Russia,82,83
Rwanda,34,35
Samoa,109,110
Sao Tome,96,97
Saudi Arabia,93,100
Senegal,85,71
Serbia/Kosovo,98,89
Seychelles,119,120
Sierra Leone,30,31
Singapore,157,157
Slovakia,144,144
Slovenia,156,161
Solomon Islands,48,47
Somalia,1,1
South Africa,116,115
South Korea,155,156
Spain,151,153
Sri Lanka,29,29
Sudan,3,3
Suriname,105,105
Swaziland,61,55
Sweden,175,176
Switzerland,174,174
Syria,48,23
Tajikistan,39,46
Tanzania,65,66
Thailand,78,84
Timor-Leste,23,28
Togo,36,39
Trinidad and Tobago,124,122
Tunisia,108,94
Turkey,95,85
Turkmenistan,75,81
Uganda,21,20
Ukraine,110,113
United Arab Emirates,138,140
United Kingdom,159,158
United States,158,159
Uruguay,154,154
Uzbekistan,39,39
Venezuela,80,82
Vietnam,88,96
Yemen,13,8
Zambia,55,44
Zimbabwe,6,5
